sal1992,hw,54,
aalcudia,hw,100,
SANFIN,hw,96,
abez0829,hw,86,
pbloch,hw,87,
jbuchbin,hw,105,
mbortins,hw,77,
kburchfi,hw,77,
cbuxbaum,hw,59,
fchen12,hw,95,
sophalc,hw,73,
schoe23,hw,91,
sfeng1,hw,105,
jdfouke,hw,20,
dmgaldi,hw,100,
agreenb,hw,87,
ahafez,hw,91,
szhess,hw,100,
relh,hw,100,
dho,hw,100,
kjames33,hw,100,
akapur92,hw,95,
akhan128,hw,91,
mkleyman,hw,100,
jleo32,hw,77,
pliu416,hw,86,
bluckey,hw,83,
jmammen,hw,83,
dmanzell,hw,100,
mmiao,hw,31,
anewell,hw,105,
viyen,hw,104,
judening,hw,83,
a27blue,hw,55,
crogan,hw,81,
dsemick,hw,73,
zsiegel,hw,105,
singhn,hw,86,
bsmith97,hw,100,
astobie,hw,81,
jtao1,hw,83,
jxwang,hw,105,
jwong03,hw,82,
nyang,hw,86,
sczimmer,hw,87,
